Id,Label
1,A.C. Abadie
2,Aamir Khan
3,Aaron Eckhart
4,Aaron Paul
5,Aasha Davis
6,Abby Craden
7,Abdel Ahmed Ghili
8,Abdelhamid Aktouche
9,Abdullrahman Al Gohani
10,Abe Laboriel Jr.
12,Abel Jafri
13,Abigail Breslin
14,Abolfazl Ahankhah
15,Abraham Attah
16,Adam Bakri
17,Adam Baldwin
18,Adam Driver
19,Adam Pawlikowski
20,Adel Bencherif
21,Adel Karam
22,Adepero Oduye
23,Adil Hussain
24,Adnan Afravian
25,Adolf Hitler
26,Adolfo Celi
27,Adolph Davis
28,Adolphe Borchard
29,Adolphe Menjou
30,Adrian Schiller
31,Adrian Titieni
32,Adriana Asti
33,Adriana Caselotti
34,Adriano Tardiolo
35,Adrien Borel
36,Adrien Brody
37,Adrienne Chaudat
38,Adrienne Servantie
39,Adèle Exarchopoulos
40,Adèle Haenel
41,Agame Malembo-Emene
42,Agata Buzek
43,Agata Kulesza
44,Agata Trzebuchowska
45,Agathe Natanson
46,Agnes Moorehead
47,Agnese Graziani
48,Agnès Jaoui
49,Agnès Varda
50,Agustina Quinci
51,Ahd
52,Ahilleas Skevis
53,Ahmad Hegazi
54,Ahmed Ahmed Poor
55,Ahmed Marei
56,Ahmet Mümtaz Taylan
57,Ahn Nae-sang
58,Ahna Capri
59,Aicha Abadir
60,Aidan Gillen
61,Aisha Bukar
62,Akemi Yamaguchi
63,Aki Maeda
64,Aki Takejô
65,Akihiro Miwa
66,Akim Tamiroff
67,Akio Ôtsuka
68,Akira Ishihama
69,Akira Terao
70,Aksel Hennie
71,Al Ernest Garcia
72,Al Pacino
73,Alain Chabat
74,Alain Cuny
75,Alain Delon
76,Alain Janey
77,Alain Libolt
78,Alain Lino Mic Eli Bastien
79,Alan Alda
80,Alan Arkin
81,Alan Badel
82,Alan Bates
83,Alan Bean
84,Alan Curtis
85,Alan Hale
86,Alan Ladd
87,Alan Mowbray
88,Alan Rickman
89,Alan Scott
90,Alane Delhaye
91,Alanna Ubach
92,Alba Rohrwacher
93,Albert Austin
94,Albert Brooks
95,Albert Dekker
96,Albert Dieudonné
97,Albert Finney
98,Albert Gran
99,Albert Grossman
100,Albert Rémy
101,Albert Salmi
102,Alberto Ammann
103,Alberto Sordi
104,Aldo Fabrizi
105,Aldo Giuffrè
106,Aldo Ordoñez
107,Aldo Puglisi
108,Aldo Silvani
109,Alec Baldwin
110,Alec Cawthorne
111,Alec Guinness
112,Alec Secareanu
113,Alejandro Jodorowsky
114,Alejandro Polanco
115,Aleksander Bardini
116,Aleksandr Antonov
117,Aleksandr Chutko
118,Aleksandr Kalyagin
119,Aleksandr Kaydanovskiy
120,Aleksandr Shvorin
121,Aleksandra Slaska
123,Aleksey Batalov
124,Aleksey Kravchenko
125,Aleksey Rozin
126,Aleksey Serebryakov
127,Alessandro Nivola
128,Alessio Boni
129,Alex Descas
130,Alex Dobrenko
131,Alex Jennings
132,Alex R. Hibbert
133,Alex Weir
134,Alexander D'Arcy
135,Alexander Gould
136,Alexander Granach
137,Alexander Hamilton
139,Alexander Scheer
140,Alexander Scourby
141,Alexander Skarsgård
142,Alexandra Angelova
143,Alexandra Borbély
144,Alexandra Dahlström
145,Alexandra Maria Lara
146,Alexandra Stewart
147,Alexandre Koubitzky
149,Alexandre Rignault
150,Alexandre Rodrigues
151,Alexandre Tharaud
152,Alexandru Dabija
153,Alexandru Potocean
154,Alexia Keogh
155,Alexis Grave
156,Alexis Neblett
157,Alexis Smith
158,Alf Kjellin
159,Alf Malland
160,Alfie Bass
161,Alfonso Mejía
162,Alfred Abel
163,Alfred Lynch
164,Alfred Molina
165,Alfredo Castro
166,Algenis Perez Soto
167,Ali Bakhsi
168,Ali Mosaffa
169,Alia Shawkat
170,Alice Brady
171,Alicia Vikander
172,Alida Rouffe
173,Alida Valli
174,Aliki Georgouli
175,Alina Berzunteanu
176,Aline Küppenheim
177,Aline MacMahon
178,Alisa Freyndlikh
179,Alison Crosbie
180,Alison Doody
181,Alison Leggatt
182,Alison Steadman
183,Alison Whelan
184,Allah-Morad Rashtian
185,Allan Corduner
186,Allan Edwall
187,Allan Gildea
188,Allan Jones
189,Allen Garfield
190,Allen Joseph
191,Allie Mickelson
192,Allison Anders
193,Allison Dean
194,Allison Janney
195,Allison Roddan
196,Allison Williams
197,Allyn Joslyn
198,Alok Chakravarty
199,Alphonse Ethier
200,Alán Uribe
201,Amanda Langlet
202,Amanda Seyfried
203,Amandla Stenberg
204,Amaneh Ekhtiar-dini
205,Amara Miller
206,Amber Tamblyn
207,Ameneh Passand
208,America Ferrera
209,Ami Aaröe
210,Amie Huguenard
211,Amilcar Cabral
212,Amir Farrokh Hashemian
213,Amira Casar
214,Amira Chemakhi
215,Amitabh Bachchan
216,Amjad Khan
217,Ammar Tafti Dehghan
218,Amy Adams
219,Amy Hargreaves
220,Amy Irving
221,Amy Madigan
222,Amy Poehler
223,Amy Robinson
224,Amy Russ
225,Amy Ryan
226,Amy Seimetz
227,Amy Stewart
228,Amy Veness
229,Amy Winehouse
230,Amédée
231,Américo Mota
232,Ana Branescu
233,Ana López Mercado
234,Ana Rita Gurgel
235,Ana Torrent
236,Ana de Armas
237,Anamaria Marinca
238,Ananda George
239,Anatoliy Solonitsyn
240,Anaïs Demoustier
241,Anders Danielsen Lie
242,Anders Ek
243,Andie MacDowell
244,Andrea Burchill
245,Andrea Eckert
246,Andrea García-Huidobro
247,Andrea Martin
248,Andrea Riseborough
249,Andreas Lust
250,Andrei Abrikosov
251,Andrew Adote
252,Andrew Bleechington
253,Andrew Brackfield
254,Andrew Garfield
255,Andrew Kevin Walker
256,Andrew Robinson
257,Andrew Shim
258,Andrey Khalimon
259,Andrey Smirnov
260,Andrzej Seweryn
261,André Alerme
262,André Berley
263,André Bervil
264,André Dussollier
265,André Gabriello
266,André Lubrano
267,André Marcon
268,André Roanne
269,André S. Labarthe
270,André Wilms
271,Andy Boswell
272,Andy Devine
273,Andy Lau
274,Andy Serkis
275,Anette Hoff
276,Angela Arenivar
277,Angela Bassett
278,Angela Burnett
279,Angela Lansbury
280,Angela Punch McGregor
281,Angela Walsh
282,Angeli Bayani
283,Angie Dickinson
284,Angélica Sancio
285,Anil Chatterjee
286,Anil Dhawan
287,Anil Kapoor
288,Anita Ekberg
289,Anita Lindblom
290,Anjelica Huston
291,Anki Lidén
292,Ann Ayars
293,Ann Dvorak
294,Ann Miller
295,Ann Petrén
296,Ann Savage
297,Ann Sheridan
298,Ann Sothern
299,Ann-Sofie Kylin
300,Anna Amendola
301,Anna Bonaiuto
303,Anna Cathcart
304,Anna Chlumsky
305,Anna Ciepielewska
306,Anna Dymna
307,Anna Faris
308,Anna Galiena
309,Anna Karina
310,Anna Kendrick
311,Anna Lee
312,Anna Magnani
313,Anna Massey
314,Anna May Wong
315,Anna Paquin
316,Anna Proclemer
317,Anna Q. Nilsson
318,Anna Schinz
319,Anna Wetlinská
320,Annabella
321,Annabella Sciorra
322,Annalisa Ericson
323,Anne Alvaro
324,Anne Bancroft
325,Anne Baxter
326,Anne Brochet
327,Anne Chevalier
328,Anne Consigny
329,Anne Dorval
330,Anne Francis
331,Anne Hathaway
332,Anne Pitoniak
333,Anne Revere
334,Anne Shirley
335,Anne Vernon
336,Anne Wiazemsky
337,Anne Yernaux
338,Anne-Louise Lambert
339,Anne-Marie Duff
340,Anne-Marie Jelinek
341,Annette Bening
342,Annette Hanshaw
343,Anni-Kristiina Juuso
344,Annie Fratellini
345,Annie Girardot
346,Annie Potts
347,Annielo Mele
348,Annika Wedderkopp
349,Annikki Tähti
350,Annmarie Fulton
351,Annu Mari
352,Anny Duperey
353,Anouk Aimée
354,Anouk Ferjac
355,Ansel Elgort
356,Anthony Flanagan
357,Anthony Gonzalez
358,Anthony Higgins
359,Anthony Hopkins
360,Anthony LaPaglia
361,Anthony Mackie
362,Anthony Michael Hall
363,Anthony Nicholls
364,Anthony Perkins
365,Anthony Quayle
366,Anthony Quinn
367,Anthony Ray
368,Antoine Bourseiller
369,Antoine L'Écuyer
370,Antoine McKay
371,Antoine Olivier Pilon
372,Antoine Reinartz
373,Antoine Vitez
374,Anton Glanzelius
375,Anton Walbrook
376,Antonella Attili
378,Antonia San Juan
379,Antonia Zegers
380,Antonina Maksimova
381,Antonina Shuranova
382,Antonio Arcidiacono
383,Antonio Banderas
384,Antonio Bolívar
385,Antonio Ferrari
386,Antonio Mendoza
387,Antonio Passalia
388,Antonio Pietrangeli
389,Antonio Resines
390,Anuk Steffen
391,Anushka Sharma
392,Aoi Miyazaki
393,Aoi Yûki
394,Aparna Sen
395,April Kent
396,Arash Marandi
397,Arata Iura
398,Archie
399,Archie Alemania
400,Aretha Franklin
401,Ari Folman
402,Ari Graynor
403,Ariadna Gil
404,Ariadne Welter
405,Ariane Labed
406,Arielle Dombasle
407,Arleen Whelan
408,Arlene Francis
409,Arletty
410,Armando Brancia
411,Armie Hammer
412,Armin Mueller-Stahl
413,Arnaud Valois
414,Arnold Lucy
415,Arnold Schwarzenegger
416,Arnoldo Foà
417,Art Carney
418,Art Parkinson
419,Artemio Vallone
420,Arthur Agee
421,Arthur Byron
422,Arthur Edmund Carewe
423,Arthur Fogel
424,Arthur Hohl
425,Arthur Howard
426,Arthur Hunnicutt
427,Arthur Kennedy
428,Arthur O'Connell
429,Artur Barcis
430,Arturo de Córdova
431,Artyom Bogucharskiy
432,Artyom Bystrov
433,Arvo Kukumägi
434,Asa Butterfield
435,Aseem Chhabra
436,Asha Magrati
437,Asher Angel
438,Ashley Judd
439,Askhat Kuchencherekov
440,Assa Sylla
441,Assita Ouedraogo
442,Astrid Holm
443,Atsuko Tanaka
444,Attilia Boschetti
445,Attwood
446,Aud Egede-Nissen
447,Audrey Hepburn
448,Audrey Tautou
449,Augusta Ciolli
450,Auli'i Cravalho
451,Aurelia Nolin
452,Aurora Cornu
453,Aurora Walker
454,Aurore Clément
455,Aurélien Recoing
456,Austin Stoker
457,Ava Gardner
458,Ava Pickard
459,Avaz Latif
460,Avin Manshadi
461,Awkwafina
462,Axel Devillers
463,Ayako Iijima
464,Ayako Wakao
465,Ayano Shiraishi
466,Ayberk Pekcan
467,Ayda Sadeqi
468,Aydah El-Kashef
469,Ayesha Mohan
470,Ayoub Ahmadi
471,Ayu Kitaura
472,Ayushmann Khurrana
473,B.J. Rolfzen
474,BD Wong
475,Baard Owe
476,Babak Karimi
477,Babek Ahmed Poor
478,Bae Doona
479,Bahare Seddiqi
480,Bahman Ghobadi
481,Bai Xue
482,Baki Davrak
483,Banlop Lomnoi
484,Baoqiang Wang
485,Baotian Li
486,Baptiste Goy
487,Baptiste Sornin
488,Barbara Bel Geddes
489,Barbara Dennek
490,Barbara Hershey
491,Barbara Lawrence
492,Barbara Loden
493,Barbara O'Neil
494,Barbara Rush
495,Barbara Stanwyck
496,Barbara Sukowa
497,Barbara Valentin
498,Barbora Hrzánová
499,Barkhad Abdi
500,Barkhad Abdirahman
501,Barry Fitzgerald
502,Barry Humphries
503,Barry Keoghan
504,Barry Sullivan
505,Bartholomew Rose
506,Bartolomeo Pagano
507,Barton MacLane
508,Basil Radford
509,Basil Rathbone
510,Beanie Feldstein
511,Behzad Dorani
512,Bel Powley
513,Bela Kovacs
514,Bela Lugosi
515,Belén Rueda
516,Bembol Roco
517,Ben Affleck
518,Ben Bard
519,Ben Burtt
520,Ben Carruthers
521,Ben Dickey
522,Ben Falcone
523,Ben Foster
524,Ben Gazzara
525,Ben Johnson
526,Ben Keith
527,Ben Kingsley
528,Ben Lang
529,Ben Mendelsohn
530,Ben Niu
531,Ben Whishaw
532,Bendt Rothe
533,Bengt C.W. Carlsson
534,Bengt Ekerot
535,Benicio Del Toro
536,Benjamin Bratt
537,Bennu Yildirimlar
538,Benny Safdie
539,Benoît Ferreux
540,Benoît Régent
541,Bente Børsum
542,Bentley Mitchum
543,Bernadette Lafont
544,Bernard Blier
545,Bernard Lee
546,Bernard Miles
547,Bernard Pruvost
548,Bernard Verley
549,Bernard-Pierre Donnadieu
550,Bernhard Wicki
551,Bernie Hamilton
552,Bernie Worrell
553,Berry Kroeger
554,Bert Freed
555,Bert Lahr
556,Bert Palmer
557,Bert Roach
558,Berta Khapava
559,Bertil Guve
560,Bertil Norström
561,Bertrand Tavernier
562,Betsy Blair
563,Bette Davis
564,Betty Bronson
565,Betty Compson
566,Betty Field
567,Betty Garrett
568,Betty Hutton
569,Beulah Bondi
570,Beverly D'Angelo
571,Bhavana Nagulapally
572,Bibi Andersson
573,Biff McGuire
574,Bijon Bhattacharya
575,Bikram Bhattacharya
576,Bill Bambridge
577,Bill Bernstein
578,Bill Hader
579,Bill Macy
580,Bill McKinney
581,Bill Murray
582,Bill Nighy
583,Bill Paxton
584,Bill Pullman
585,Bill Strother
586,Billy Bletcher
587,Billy Bob Thornton
588,Billy Chan
589,Billy Crudup
590,Billy Crystal
591,Billy Dee Williams
592,Billy Green Bush
593,Billy Kearns
594,Billy Lenhart
595,Bing Crosby
596,Birger Malmsten
597,Birgitta Pettersson
598,Birgitta Valberg
599,Birgitte Federspiel
600,Birol Ünel
601,Bismillah Khan
602,Björn Englund
603,Blaise Fournier
604,Blake Jenner
605,Blanca Portillo
606,Blazej Wójcik
607,Bleuette Bernon
608,Blondin Miguel
609,Bo Lundmark
610,Bob Avian
611,Bob Balaban
612,Bob Dylan
613,Bob Gunton
614,Bob Hoskins
615,Bob Johnston
616,Bob Neuwirth
617,Bob Odenkirk
618,Bobby Cannavale
619,Bobby Henrey
620,Bobby Naderi
621,Bobette Audrey
622,Bodan Litnanski
623,Bodil Kjer
624,Bodil Rosing
625,Boluwatife Treasure Bankole
626,Boman Irani
627,Bonnie Bedelia
628,Bora Todorovic
629,Boris Karloff
630,Boris Nevzorov
631,Boris Plotnikov
632,Boris Zakhava
633,Borys Szyc
634,Bourvil
635,Boyd Holbrook
636,Brad Garrett
637,Brad Pitt
638,Brad Renfro
639,Bradford Dillman
640,Bradley Cooper
641,Bradley Whitford
642,Brady Jandreau
643,Brahim Hadjadj
