Movie,Rating,Director 1,Director 1,Actor 1,Actor 2,Actor 3,Actor 4
Kummisetä,9.2,Francis Ford Coppola,,Marlon Brando,Al Pacino,James Caan,Diane Keaton
Tokyo Story,8.2,Yasujirô Ozu,,Chishû Ryû,Chieko Higashiyama,Sô Yamamura,Setsuko Hara
7 samuraita,8.7,Akira Kurosawa,,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki
Kummisetä osa II,9,Francis Ford Coppola,,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton
Casablanca,8.5,Michael Curtiz,,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains
Citizen Kane,8.3,Orson Welles,,Orson Welles,Joseph Cotten,Dorothy Comingore,Agnes Moorehead
Arabian Lawrence,8.3,David Lean,,Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins
Valamiesten ratkaisu,9,Sidney Lumet,,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler
Auringonlaskun katu,8.4,Billy Wilder,,William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson
Shoah,8.7,Claude Lanzmann,,Simon Srebnik,Michael Podchlebnik,Motke Zaïdl,Hanna Zaïdl
Sana,8.3,Carl Theodor Dreyer,,Henrik Malberg,Emil Hass Christensen,Preben Lerdorff Rye,Hanne Aagesen
Kaikki Eevasta,8.3,Joseph L. Mankiewicz,,Bette Davis,Anne Baxter,George Sanders,Celeste Holm
Kymmenen käskyä,9,,,Artur Barcis,Olgierd Lukaszewicz,Olaf Lubaszenko,Aleksander Bardini
Pulp Fiction: Tarinoita väkivallasta,8.9,Quentin Tarantino,,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis
Kaupungin valot,8.5,Charles Chaplin,,Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers
Ugetsu - kalpean kuun tarinoita,8.2,Kenji Mizoguchi,,Masayuki Mori,Machiko Kyô,Kinuyo Tanaka,Mitsuko Mito
Singin' in the Rain,8.3,"Stanley Donen, ",| ,Gene Kelly,Donald O'Connor,Debbie Reynolds,Jean Hagen
Schindlerin lista,9,Steven Spielberg,,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall
400 kepposta,8.1,François Truffaut,,Jean-Pierre Léaud,Albert Rémy,Claire Maurier,Guy Decomble
Mafiaveljet,8.7,Martin Scorsese,,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco
Paratiisin lapset,8.3,Marcel Carné,,Arletty,Jean-Louis Barrault,Pierre Brasseur,Pierre Renoir
Nykyaika,8.5,Charles Chaplin,,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford
Psyko,8.5,Alfred Hitchcock,,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin
Yksi lensi yli käenpesän,8.7,Milos Forman,,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco
M - kaupunki etsii murhaajaa,8.3,Fritz Lang,,Peter Lorre,Ellen Widmann,Inge Landgut,Otto Wernicke
Kolmas mies,8.1,Carol Reed,,Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard
Tulikärpästen hauta,8.5,Isao Takahata,,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,Yoshiko Shinohara
Tohtori Outolempi eli: Kuinka lakkasin olemasta huolissani ja opin rakastamaan pommia,8.4,Stanley Kubrick,,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn
Tien laulu,8.4,Satyajit Ray,,Kanu Bannerjee,Karuna Bannerjee,Subir Banerjee,Chunibala Devi
Takaikkuna,8.5,Alfred Hitchcock,,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter
Rashomon - paholaisen temppeli,8.2,Akira Kurosawa,,Toshirô Mifune,Machiko Kyô,Masayuki Mori,Takashi Shimura
Ilmestyskirja. Nyt.,8.5,Francis Ford Coppola,,Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest
