source,target
1,1802
1,1750
1,2804
2,4270
2,1854
2,4262
2,3322
2,3812
2,4757
2,4612
2,1546
2,4668
2,4831
2,4793
2,4757
2,1100
2,5090
2,5273
2,391
2,4664
2,626
3,909
3,1986
3,3646
4,2002
4,88
4,499
5,22
5,2969
5,4154
6,3215
6,3613
6,4897
7,5257
7,2103
7,4691
8,1917
8,1919
8,1542
9,5314
9,4319
9,51
10,4109
10,4124
10,4573
12,2147
12,5156
12,3087
13,4895
13,5132
13,1863
14,2089
14,3804
14,3605
15,1437
15,4394
15,251
16,3102
16,1523
16,4641
17,3559
17,4253
17,5258
18,1845
18,3906
18,4412
18,2609
18,3063
18,5146
18,1867
18,3724
18,3680
18,813
18,1067
18,1544
19,5497
19,1518
19,5315
20,4974
20,3941
20,4318
21,2830
21,735
21,1190
22,2969
22,5
22,4154
23,4925
23,2184
23,4968
24,4934
24,4070
24,1844
25,3683
25,4332
25,1998
25,2045
25,3577
25,3491
26,2424
26,3690
26,3819
27,2681
27,4344
27,4544
28,4604
28,3372
28,4303
29,2978
29,4278
29,1760
29,2868
29,1810
29,1705
29,1717
29,3484
29,5190
29,2348
29,1674
29,3589
30,2473
30,5129
30,2694
31,3411
31,3143
31,3850
32,3276
32,128
32,2368
33,1967
33,3269
33,4550
34,47
34,92
34,3261
35,963
35,3937
35,2415
36,5054
36,1622
36,1421
36,4277
36,1525
36,3549
37,2756
37,1690
37,958
38,2266
38,2450
38,3266
39,3306
39,4618
39,455
40,3862
40,413
40,372
41,1644
41,284
41,423
42,3237
42,43
42,5261
43,44
43,1140
43,2504
43,2562
43,5125
43,633
43,3237
43,42
43,5261
44,43
44,1140
44,2504
45,2788
45,5395
45,2425
46,4037
46,2710
46,1267
46,2346
46,4478
46,998
46,2122
46,3070
46,679
47,34
47,92
47,3261
48,323
48,2442
48,73
49,2224
49,2458
49,979
49,266
49,603
49,5259
49,1652
49,2406
49,622
50,1696
50,5025
50,200
51,5314
51,4319
51,9
52,695
52,2198
52,1531
53,55
53,3859
53,3799
54,477
54,2948
54,2174
55,53
55,3859
55,3799
56,3841
56,5433
56,4992
57,5468
57,3094
57,2959
57,4833
57,3825
57,4742
58,686
58,2660
58,2530
59,2439
59,309
59,1858
60,1562
60,3410
60,2243
60,650
60,902
60,2916
61,2982
61,1279
61,2260
62,5170
62,465
62,5452
63,5004
63,4998
63,869
64,2921
64,4920
64,5134
65,875
65,4986
65,5005
66,1301
66,309
66,5212
67,443
67,2154
67,3026
68,5007
68,4772
68,5033
69,5007
69,2539
69,1044
70,4960
70,3948
70,2780
71,833
71,3629
71,1963
72,3485
72,2285
72,1196
72,4431
72,4434
72,1196
72,2604
72,4149
72,4916
72,4570
72,928
72,1199
72,2655
72,2235
72,573
72,4431
72,5203
72,2677
72,2671
72,3663
72,696
73,323
73,2442
73,48
74,2434
74,4600
74,4725
74,409
74,3429
74,1566
74,4099
74,3081
74,1311
75,715
75,967
75,4066
75,1649
75,3892
75,797
75,634
75,1794
75,5475
75,4339
75,345
75,967
75,3574
75,3431
75,1469
75,3819
75,1610
75,3161
76,4226
76,344
76,3932
77,3433
77,721
77,1209
78,4260
78,4726
78,4279
79,5105
79,3478
79,225
80,517
80,703
80,2623
80,447
80,4374
80,1340
81,4383
81,4261
81,5387
82,545
82,1982
82,3987
82,2793
82,5061
82,556
83,718
83,1489
83,3648
84,2151
84,2122
84,427
85,1474
85,157
85,2228
86,2391
86,5213
86,644
87,5290
87,3075
87,4670
88,690
88,627
88,4329
88,2671
88,2009
88,5080
88,2002
88,4
88,499
89,353
89,3367
89,2263
90,3270
90,547
90,4205
91,357
91,1704
91,536
92,34
92,47
92,3261
93,833
93,1322
93,1456
94,4431
94,2570
94,1033
94,1407
94,135
94,5377
94,4587
94,738
94,703
94,1407
94,1295
94,2824
94,5390
94,2080
94,4453
94,3632
94,4403
94,3652
95,715
95,457
95,1312
95,4278
95,4123
95,2741
96,5299
96,1313
96,147
97,4778
97,4261
97,2127
97,5100
97,1331
97,5501
97,1693
97,2664
97,3384
98,2348
98,837
98,518
99,612
99,616
99,2550
100,2448
100,944
100,1891
101,3822
101,3100
101,2546
102,3283
102,389
102,3362
103,1613
103,1615
103,3126
103,3984
103,1700
103,5186
104,312
104,3381
104,5281
104,1796
104,4151
104,4743
105,984
105,1372
105,3101
106,3823
106,5272
106,988
107,4684
107,4872
107,3047
108,366
108,1820
108,4364
109,784
109,4182
109,4621
110,3075
110,3646
110,2647
111,4179
111,366
111,2232
111,1174
111,5208
111,2557
111,5389
111,2232
111,4736
111,3471
111,1958
111,773
111,4183
111,800
111,2040
111,4865
111,4796
111,160
111,4449
111,2891
111,1607
111,3565
111,714
111,1468
112,2721
112,1733
112,2139
113,3693
113,1914
113,897
113,673
113,4059
113,2493
114,2202
114,4416
114,758
115,429
115,4003
115,3998
116,5294
116,1872
116,2211
117,3123
117,5471
117,1515
118,1366
118,1517
118,381
119,178
119,239
119,3951
120,5010
120,123
120,5220
121,305
121,2328
121,3389
123,5010
123,5220
123,120
124,4002
124,3204
124,5292
125,3520
125,3563
125,3450
125,3858
125,259
125,1364
126,1364
126,4510
126,5301
127,2663
127,3930
127,2549
128,3276
128,2368
128,32
129,3552
129,3933
129,1875
130,2998
130,4476
130,893
131,2002
131,3675
131,2289
132,3335
132,3872
132,5162
133,1114
133,552
133,4902
134,2177
134,780
134,4275
135,94
135,1407
135,5377
136,3582
136,1889
136,1869
136,1678
136,1470
136,1384
137,400
137,2287
137,1012
139,1305
139,1533
139,3044
140,1833
140,1834
140,2568
141,2769
141,4896
141,2564
141,512
141,3002
141,926
142,4868
142,3404
142,4236
143,1907
143,4595
143,5516
144,4316
144,1459
144,3548
145,695
145,5191
145,2768
145,1064
145,899
145,4012
145,4631
145,4639
145,1021
145,4631
145,4639
145,1021
146,862
146,694
146,2264
147,96
147,5299
147,1313
149,4220
149,173
149,2790
150,3091
150,3547
150,4194
